Method;Text size;Alphabet size;Pattern size;Wildcards;Time
Native;10000;2;100;0;263814
KMP;10000;2;100;0;218006
KMP_O;10000;2;100;0;267668
Native;10000;2;100;1;281931
KMP;10000;2;100;1;261048
KMP_O;10000;2;100;1;282095
Native;10000;2;100;2;293108
KMP;10000;2;100;2;223928
KMP_O;10000;2;100;2;261203
Native;10000;2;100;3;262614
KMP;10000;2;100;3;214872
KMP_O;10000;2;100;3;248969
Native;10000;2;100;4;348699
KMP;10000;2;100;4;285367
KMP_O;10000;2;100;4;237573
Native;10000;4;100;0;259444
KMP;10000;4;100;0;203560
KMP_O;10000;4;100;0;224841
Native;10000;4;100;1;265794
KMP;10000;4;100;1;217575
KMP_O;10000;4;100;1;216609
Native;10000;4;100;2;258057
KMP;10000;4;100;2;203654
KMP_O;10000;4;100;2;216843
Native;10000;4;100;3;258823
KMP;10000;4;100;3;203306
KMP_O;10000;4;100;3;286899
Native;10000;4;100;4;259661
KMP;10000;4;100;4;209744
KMP_O;10000;4;100;4;224365
Native;100000;2;100;0;2634769
KMP;100000;2;100;0;2010356
KMP_O;100000;2;100;0;2111476
Native;100000;2;100;1;2616561
KMP;100000;2;100;1;2015694
KMP_O;100000;2;100;1;2161418
Native;100000;2;100;2;2632268
KMP;100000;2;100;2;2002597
KMP_O;100000;2;100;2;2207906
Native;100000;2;100;3;2734333
KMP;100000;2;100;3;2008667
KMP_O;100000;2;100;3;2230654
Native;100000;2;100;4;2657426
KMP;100000;2;100;4;2081393
KMP_O;100000;2;100;4;2591473
Native;100000;4;100;0;2616603
KMP;100000;4;100;0;2052659
KMP_O;100000;4;100;0;2325166
Native;100000;4;100;1;2647884
KMP;100000;4;100;1;1984114
KMP_O;100000;4;100;1;2810474
Native;100000;4;100;2;2650945
KMP;100000;4;100;2;2012626
KMP_O;100000;4;100;2;2135715
Native;100000;4;100;3;2620407
KMP;100000;4;100;3;2059328
KMP_O;100000;4;100;3;2192134
Native;100000;4;100;4;2796267
KMP;100000;4;100;4;2343043
KMP_O;100000;4;100;4;2782588
Native;10000;2;200;0;256431
KMP;10000;2;200;0;206698
KMP_O;10000;2;200;0;239434
Native;10000;2;200;1;257980
KMP;10000;2;200;1;207009
KMP_O;10000;2;200;1;240154
Native;10000;2;200;2;268334
KMP;10000;2;200;2;210403
KMP_O;10000;2;200;2;240216
Native;10000;2;200;3;259015
KMP;10000;2;200;3;207308
KMP_O;10000;2;200;3;239563
Native;10000;2;200;4;254546
KMP;10000;2;200;4;206877
KMP_O;10000;2;200;4;234346
Native;10000;4;200;0;258311
KMP;10000;4;200;0;210112
KMP_O;10000;4;200;0;230766
Native;10000;4;200;1;254929
KMP;10000;4;200;1;210612
KMP_O;10000;4;200;1;259759
Native;10000;4;200;2;255485
KMP;10000;4;200;2;235590
KMP_O;10000;4;200;2;303311
Native;10000;4;200;3;260277
KMP;10000;4;200;3;212724
KMP_O;10000;4;200;3;260085
Native;10000;4;200;4;255107
KMP;10000;4;200;4;211478
KMP_O;10000;4;200;4;262193
Native;100000;2;200;0;2618677
KMP;100000;2;200;0;2019430
KMP_O;100000;2;200;0;2225921
Native;100000;2;200;1;2623493
KMP;100000;2;200;1;2012259
KMP_O;100000;2;200;1;2170040
Native;100000;2;200;2;2663917
KMP;100000;2;200;2;2074199
KMP_O;100000;2;200;2;2253507
Native;100000;2;200;3;2664410
KMP;100000;2;200;3;2068665
KMP_O;100000;2;200;3;2247690
Native;100000;2;200;4;2606915
KMP;100000;2;200;4;2070346
KMP_O;100000;2;200;4;2222368
Native;100000;4;200;0;2717151
KMP;100000;4;200;0;2067461
KMP_O;100000;4;200;0;2307804
Native;100000;4;200;1;2636406
KMP;100000;4;200;1;2067188
KMP_O;100000;4;200;1;2327655
Native;100000;4;200;2;2646315
KMP;100000;4;200;2;2046508
KMP_O;100000;4;200;2;2665083
Native;100000;4;200;3;2619809
KMP;100000;4;200;3;2000048
KMP_O;100000;4;200;3;2109643
Native;100000;4;200;4;2651814
KMP;100000;4;200;4;2073361
KMP_O;100000;4;200;4;2194492
Native;10000;2;300;0;256636
KMP;10000;2;300;0;206438
KMP_O;10000;2;300;0;227622
Native;10000;2;300;1;256676
KMP;10000;2;300;1;206753
KMP_O;10000;2;300;1;227387
Native;10000;2;300;2;256839
KMP;10000;2;300;2;206921
KMP_O;10000;2;300;2;252594
Native;10000;2;300;3;255985
KMP;10000;2;300;3;206139
KMP_O;10000;2;300;3;226899
Native;10000;2;300;4;255816
KMP;10000;2;300;4;206200
KMP_O;10000;2;300;4;226526
Native;10000;4;300;0;258023
KMP;10000;4;300;0;208841
KMP_O;10000;4;300;0;224740
Native;10000;4;300;1;258810
KMP;10000;4;300;1;205867
KMP_O;10000;4;300;1;223508
Native;10000;4;300;2;257826
KMP;10000;4;300;2;205467
KMP_O;10000;4;300;2;223977
Native;10000;4;300;3;257171
KMP;10000;4;300;3;205885
KMP_O;10000;4;300;3;223929
Native;10000;4;300;4;258850
KMP;10000;4;300;4;206141
KMP_O;10000;4;300;4;223948
Native;100000;2;300;0;2631625
KMP;100000;2;300;0;2040955
KMP_O;100000;2;300;0;2245189
Native;100000;2;300;1;2635611
KMP;100000;2;300;1;2055685
KMP_O;100000;2;300;1;2266542
Native;100000;2;300;2;2585180
KMP;100000;2;300;2;2069773
KMP_O;100000;2;300;2;2299420
Native;100000;2;300;3;2700171
KMP;100000;2;300;3;1999783
KMP_O;100000;2;300;3;2190224
Native;100000;2;300;4;2617541
KMP;100000;2;300;4;2057238
KMP_O;100000;2;300;4;2317642
Native;100000;4;300;0;2601221
KMP;100000;4;300;0;2201744
KMP_O;100000;4;300;0;2144606
Native;100000;4;300;1;2645055
KMP;100000;4;300;1;2024207
KMP_O;100000;4;300;1;2861850
Native;100000;4;300;2;2640636
KMP;100000;4;300;2;2025902
KMP_O;100000;4;300;2;2586075
Native;100000;4;300;3;2609014
KMP;100000;4;300;3;2085962
KMP_O;100000;4;300;3;2276941
Native;100000;4;300;4;3107467
KMP;100000;4;300;4;2366401
KMP_O;100000;4;300;4;2367073
Native;10000;2;400;0;254319
KMP;10000;2;400;0;212527
KMP_O;10000;2;400;0;246668
Native;10000;2;400;1;254659
KMP;10000;2;400;1;213465
KMP_O;10000;2;400;1;248272
Native;10000;2;400;2;256203
KMP;10000;2;400;2;213241
KMP_O;10000;2;400;2;246482
Native;10000;2;400;3;253776
KMP;10000;2;400;3;212976
KMP_O;10000;2;400;3;245464
Native;10000;2;400;4;254241
KMP;10000;2;400;4;212381
KMP_O;10000;2;400;4;245895
Native;10000;4;400;0;254351
KMP;10000;4;400;0;212860
KMP_O;10000;4;400;0;225063
Native;10000;4;400;1;256866
KMP;10000;4;400;1;212745
KMP_O;10000;4;400;1;232556
Native;10000;4;400;2;254555
KMP;10000;4;400;2;212752
KMP_O;10000;4;400;2;225226
Native;10000;4;400;3;255122
KMP;10000;4;400;3;213667
KMP_O;10000;4;400;3;225851
Native;10000;4;400;4;256844
KMP;10000;4;400;4;213733
KMP_O;10000;4;400;4;224602
Native;100000;2;400;0;2636895
KMP;100000;2;400;0;2059024
KMP_O;100000;2;400;0;2137585
Native;100000;2;400;1;2602798
KMP;100000;2;400;1;2028280
KMP_O;100000;2;400;1;2652955
Native;100000;2;400;2;2618759
KMP;100000;2;400;2;2023255
KMP_O;100000;2;400;2;2069940
Native;100000;2;400;3;2593778
KMP;100000;2;400;3;2049345
KMP_O;100000;2;400;3;2342242
Native;100000;2;400;4;2587693
KMP;100000;2;400;4;2049421
KMP_O;100000;2;400;4;2382426
Native;100000;4;400;0;2596911
KMP;100000;4;400;0;2057044
KMP_O;100000;4;400;0;2214942
Native;100000;4;400;1;2680769
KMP;100000;4;400;1;2204541
KMP_O;100000;4;400;1;2283682
Native;100000;4;400;2;2597104
KMP;100000;4;400;2;2106270
KMP_O;100000;4;400;2;2286078
Native;100000;4;400;3;2619823
KMP;100000;4;400;3;2094566
KMP_O;100000;4;400;3;2115384
Native;100000;4;400;4;2628309
KMP;100000;4;400;4;2020433
KMP_O;100000;4;400;4;2243447
Native;10000;2;500;0;251677
KMP;10000;2;500;0;206645
KMP_O;10000;2;500;0;310648
Native;10000;2;500;1;254722
KMP;10000;2;500;1;209601
KMP_O;10000;2;500;1;232051
Native;10000;2;500;2;254768
KMP;10000;2;500;2;209900
KMP_O;10000;2;500;2;231379
Native;10000;2;500;3;360756
KMP;10000;2;500;3;211417
KMP_O;10000;2;500;3;231713
Native;10000;2;500;4;255950
KMP;10000;2;500;4;214768
KMP_O;10000;2;500;4;232178
Native;10000;4;500;0;248840
KMP;10000;4;500;0;211452
KMP_O;10000;4;500;0;250358
Native;10000;4;500;1;249569
KMP;10000;4;500;1;211202
KMP_O;10000;4;500;1;251189
Native;10000;4;500;2;250014
KMP;10000;4;500;2;211458
KMP_O;10000;4;500;2;251008
Native;10000;4;500;3;249523
KMP;10000;4;500;3;212115
KMP_O;10000;4;500;3;250044
Native;10000;4;500;4;249951
KMP;10000;4;500;4;253336
KMP_O;10000;4;500;4;260384
Native;100000;2;500;0;2608101
KMP;100000;2;500;0;2012610
KMP_O;100000;2;500;0;2227507
Native;100000;2;500;1;2666597
KMP;100000;2;500;1;1995371
KMP_O;100000;2;500;1;2304464
Native;100000;2;500;2;2611567
KMP;100000;2;500;2;2128692
KMP_O;100000;2;500;2;2278183
Native;100000;2;500;3;2665358
KMP;100000;2;500;3;2031751
KMP_O;100000;2;500;3;2673192
Native;100000;2;500;4;2586827
KMP;100000;2;500;4;2071798
KMP_O;100000;2;500;4;2312899
Native;100000;4;500;0;2621305
KMP;100000;4;500;0;2068966
KMP_O;100000;4;500;0;2291719
Native;100000;4;500;1;2667958
KMP;100000;4;500;1;2077763
KMP_O;100000;4;500;1;2270885
Native;100000;4;500;2;2595480
KMP;100000;4;500;2;2079719
KMP_O;100000;4;500;2;2273991
Native;100000;4;500;3;2648443
KMP;100000;4;500;3;2068057
KMP_O;100000;4;500;3;2068314
Native;100000;4;500;4;2627490
KMP;100000;4;500;4;1997081
KMP_O;100000;4;500;4;2078619
Native;10000;2;600;0;249616
KMP;10000;2;600;0;214800
KMP_O;10000;2;600;0;257246
Native;10000;2;600;1;249467
KMP;10000;2;600;1;215066
KMP_O;10000;2;600;1;256235
Native;10000;2;600;2;256347
KMP;10000;2;600;2;218075
KMP_O;10000;2;600;2;257690
Native;10000;2;600;3;250509
KMP;10000;2;600;3;214440
KMP_O;10000;2;600;3;256068
Native;10000;2;600;4;249558
KMP;10000;2;600;4;214290
KMP_O;10000;2;600;4;256835
Native;10000;4;600;0;254571
KMP;10000;4;600;0;206628
KMP_O;10000;4;600;0;222626
Native;10000;4;600;1;255316
KMP;10000;4;600;1;207374
KMP_O;10000;4;600;1;224446
Native;10000;4;600;2;255088
KMP;10000;4;600;2;207340
KMP_O;10000;4;600;2;223683
Native;10000;4;600;3;254196
KMP;10000;4;600;3;208052
KMP_O;10000;4;600;3;225989
Native;10000;4;600;4;253188
KMP;10000;4;600;4;210075
KMP_O;10000;4;600;4;232200
Native;100000;2;600;0;2629530
KMP;100000;2;600;0;2024355
KMP_O;100000;2;600;0;2120271
Native;100000;2;600;1;2615551
KMP;100000;2;600;1;2053983
KMP_O;100000;2;600;1;2150565
Native;100000;2;600;2;2600641
KMP;100000;2;600;2;2036298
KMP_O;100000;2;600;2;2143823
Native;100000;2;600;3;2618983
KMP;100000;2;600;3;2037617
KMP_O;100000;2;600;3;2467002
Native;100000;2;600;4;2642772
KMP;100000;2;600;4;2086354
KMP_O;100000;2;600;4;2200557
Native;100000;4;600;0;2587142
KMP;100000;4;600;0;2018331
KMP_O;100000;4;600;0;2140569
Native;100000;4;600;1;2598851
KMP;100000;4;600;1;2077568
KMP_O;100000;4;600;1;2271649
Native;100000;4;600;2;2624376
KMP;100000;4;600;2;1992541
KMP_O;100000;4;600;2;2089827
Native;100000;4;600;3;2602574
KMP;100000;4;600;3;1991583
KMP_O;100000;4;600;3;2118891
Native;100000;4;600;4;2612433
KMP;100000;4;600;4;2043339
KMP_O;100000;4;600;4;2466684
Native;10000;2;700;0;251625
KMP;10000;2;700;0;241496
KMP_O;10000;2;700;0;259215
Native;10000;2;700;1;249058
KMP;10000;2;700;1;221939
KMP_O;10000;2;700;1;255419
Native;10000;2;700;2;248697
KMP;10000;2;700;2;226718
KMP_O;10000;2;700;2;259955
Native;10000;2;700;3;249831
KMP;10000;2;700;3;221943
KMP_O;10000;2;700;3;255693
Native;10000;2;700;4;249201
KMP;10000;2;700;4;222319
KMP_O;10000;2;700;4;255665
Native;10000;4;700;0;251823
KMP;10000;4;700;0;216004
KMP_O;10000;4;700;0;275512
Native;10000;4;700;1;258653
KMP;10000;4;700;1;218826
KMP_O;10000;4;700;1;306061
Native;10000;4;700;2;249929
KMP;10000;4;700;2;216409
KMP_O;10000;4;700;2;305549
Native;10000;4;700;3;250326
KMP;10000;4;700;3;216188
KMP_O;10000;4;700;3;304946
Native;10000;4;700;4;254456
KMP;10000;4;700;4;215357
KMP_O;10000;4;700;4;305782
Native;100000;2;700;0;2618505
KMP;100000;2;700;0;1994250
KMP_O;100000;2;700;0;2219810
Native;100000;2;700;1;2572856
KMP;100000;2;700;1;2088045
KMP_O;100000;2;700;1;2383739
Native;100000;2;700;2;2683798
KMP;100000;2;700;2;2001395
KMP_O;100000;2;700;2;2122041
Native;100000;2;700;3;2605650
KMP;100000;2;700;3;2015782
KMP_O;100000;2;700;3;2451953
Native;100000;2;700;4;2633057
KMP;100000;2;700;4;2016659
KMP_O;100000;2;700;4;2482482
Native;100000;4;700;0;2615388
KMP;100000;4;700;0;2075848
KMP_O;100000;4;700;0;2093672
Native;100000;4;700;1;2590023
KMP;100000;4;700;1;2147201
KMP_O;100000;4;700;1;2210771
Native;100000;4;700;2;2568687
KMP;100000;4;700;2;2125260
KMP_O;100000;4;700;2;2305412
Native;100000;4;700;3;2632102
KMP;100000;4;700;3;2023420
KMP_O;100000;4;700;3;2286653
Native;100000;4;700;4;2581951
KMP;100000;4;700;4;2063146
KMP_O;100000;4;700;4;2303856
Native;10000;2;800;0;247513
KMP;10000;2;800;0;219237
KMP_O;10000;2;800;0;251066
Native;10000;2;800;1;260255
KMP;10000;2;800;1;211318
KMP_O;10000;2;800;1;227649
Native;10000;2;800;2;246014
KMP;10000;2;800;2;215658
KMP_O;10000;2;800;2;227599
Native;10000;2;800;3;246376
KMP;10000;2;800;3;212312
KMP_O;10000;2;800;3;226179
Native;10000;2;800;4;246605
KMP;10000;2;800;4;211255
KMP_O;10000;2;800;4;226156
Native;10000;4;800;0;245847
KMP;10000;4;800;0;222172
KMP_O;10000;4;800;0;242629
Native;10000;4;800;1;245928
KMP;10000;4;800;1;222298
KMP_O;10000;4;800;1;242691
Native;10000;4;800;2;245654
KMP;10000;4;800;2;224476
KMP_O;10000;4;800;2;242440
Native;10000;4;800;3;246130
KMP;10000;4;800;3;222296
KMP_O;10000;4;800;3;242621
Native;10000;4;800;4;249964
KMP;10000;4;800;4;223155
KMP_O;10000;4;800;4;257994
Native;100000;2;800;0;2612598
KMP;100000;2;800;0;2006919
KMP_O;100000;2;800;0;2071374
Native;100000;2;800;1;2601416
KMP;100000;2;800;1;2021253
KMP_O;100000;2;800;1;2231993
Native;100000;2;800;2;2617749
KMP;100000;2;800;2;2100011
KMP_O;100000;2;800;2;2573109
Native;100000;2;800;3;2664054
KMP;100000;2;800;3;2016783
KMP_O;100000;2;800;3;2865918
Native;100000;2;800;4;2603174
KMP;100000;2;800;4;2094727
KMP_O;100000;2;800;4;2180553
Native;100000;4;800;0;2656052
KMP;100000;4;800;0;2019318
KMP_O;100000;4;800;0;2150113
Native;100000;4;800;1;2666889
KMP;100000;4;800;1;2009359
KMP_O;100000;4;800;1;2128276
Native;100000;4;800;2;2608048
KMP;100000;4;800;2;2017063
KMP_O;100000;4;800;2;2143076
Native;100000;4;800;3;2591872
KMP;100000;4;800;3;2077105
KMP_O;100000;4;800;3;2295990
Native;100000;4;800;4;2592954
KMP;100000;4;800;4;2055879
KMP_O;100000;4;800;4;2207951
Native;10000;2;900;0;246890
KMP;10000;2;900;0;237989
KMP_O;10000;2;900;0;269773
Native;10000;2;900;1;251802
KMP;10000;2;900;1;224833
KMP_O;10000;2;900;1;251400
Native;10000;2;900;2;246985
KMP;10000;2;900;2;222307
KMP_O;10000;2;900;2;247768
Native;10000;2;900;3;247478
KMP;10000;2;900;3;222377
KMP_O;10000;2;900;3;248110
Native;10000;2;900;4;246064
KMP;10000;2;900;4;222424
KMP_O;10000;2;900;4;247541
Native;10000;4;900;0;252351
KMP;10000;4;900;0;221000
KMP_O;10000;4;900;0;253916
Native;10000;4;900;1;246205
KMP;10000;4;900;1;246069
KMP_O;10000;4;900;1;254659
Native;10000;4;900;2;246612
KMP;10000;4;900;2;221811
KMP_O;10000;4;900;2;253695
Native;10000;4;900;3;246690
KMP;10000;4;900;3;213927
KMP_O;10000;4;900;3;284700
Native;10000;4;900;4;245794
KMP;10000;4;900;4;213978
KMP_O;10000;4;900;4;284523
Native;100000;2;900;0;2581031
KMP;100000;2;900;0;2078062
KMP_O;100000;2;900;0;2400447
Native;100000;2;900;1;2627670
KMP;100000;2;900;1;2121734
KMP_O;100000;2;900;1;2206791
Native;100000;2;900;2;2594319
KMP;100000;2;900;2;2096782
KMP_O;100000;2;900;2;2194229
Native;100000;2;900;3;2588661
KMP;100000;2;900;3;2063932
KMP_O;100000;2;900;3;2374608
Native;100000;2;900;4;2600509
KMP;100000;2;900;4;2081885
KMP_O;100000;2;900;4;2371280
Native;100000;4;900;0;2611678
KMP;100000;4;900;0;2005521
KMP_O;100000;4;900;0;2239463
Native;100000;4;900;1;2641055
KMP;100000;4;900;1;2070092
KMP_O;100000;4;900;1;2350087
Native;100000;4;900;2;2613579
KMP;100000;4;900;2;2046364
KMP_O;100000;4;900;2;2137199
Native;100000;4;900;3;2624334
KMP;100000;4;900;3;2015043
KMP_O;100000;4;900;3;2534783
Native;100000;4;900;4;2619935
KMP;100000;4;900;4;2046764
KMP_O;100000;4;900;4;2825683
Native;10000;2;1000;0;247495
KMP;10000;2;1000;0;233655
KMP_O;10000;2;1000;0;235670
Native;10000;2;1000;1;248051
KMP;10000;2;1000;1;224783
KMP_O;10000;2;1000;1;237203
Native;10000;2;1000;2;247094
KMP;10000;2;1000;2;225599
KMP_O;10000;2;1000;2;236257
Native;10000;2;1000;3;246223
KMP;10000;2;1000;3;215963
KMP_O;10000;2;1000;3;258393
Native;10000;2;1000;4;245659
KMP;10000;2;1000;4;214340
KMP_O;10000;2;1000;4;256547
Native;10000;4;1000;0;258042
KMP;10000;4;1000;0;222877
KMP_O;10000;4;1000;0;244862
Native;10000;4;1000;1;249479
KMP;10000;4;1000;1;224445
KMP_O;10000;4;1000;1;245563
Native;10000;4;1000;2;245644
KMP;10000;4;1000;2;223472
KMP_O;10000;4;1000;2;244665
Native;10000;4;1000;3;243922
KMP;10000;4;1000;3;223705
KMP_O;10000;4;1000;3;245920
Native;10000;4;1000;4;243723
KMP;10000;4;1000;4;222786
KMP_O;10000;4;1000;4;244543
Native;100000;2;1000;0;2610063
KMP;100000;2;1000;0;2015611
KMP_O;100000;2;1000;0;2396530
Native;100000;2;1000;1;2588211
KMP;100000;2;1000;1;2134361
KMP_O;100000;2;1000;1;2446583
Native;100000;2;1000;2;2595047
KMP;100000;2;1000;2;2045673
KMP_O;100000;2;1000;2;2739794
Native;100000;2;1000;3;2636303
KMP;100000;2;1000;3;2022976
KMP_O;100000;2;1000;3;2203665
Native;100000;2;1000;4;2582453
KMP;100000;2;1000;4;2078118
KMP_O;100000;2;1000;4;2343657
Native;100000;4;1000;0;2618080
KMP;100000;4;1000;0;2056200
KMP_O;100000;4;1000;0;2292403
Native;100000;4;1000;1;2590107
KMP;100000;4;1000;1;2068094
KMP_O;100000;4;1000;1;2381766
Native;100000;4;1000;2;2645673
KMP;100000;4;1000;2;2026041
KMP_O;100000;4;1000;2;2320135
Native;100000;4;1000;3;2605964
KMP;100000;4;1000;3;2139676
KMP_O;100000;4;1000;3;2280827
Native;100000;4;1000;4;2609816
KMP;100000;4;1000;4;2014257
KMP_O;100000;4;1000;4;2781180
Native;10000;2;1100;0;240624
KMP;10000;2;1100;0;222097
KMP_O;10000;2;1100;0;310201
Native;10000;2;1100;1;242687
KMP;10000;2;1100;1;222841
KMP_O;10000;2;1100;1;284091
Native;10000;2;1100;2;240462
KMP;10000;2;1100;2;222447
KMP_O;10000;2;1100;2;283400
Native;10000;2;1100;3;240682
KMP;10000;2;1100;3;222618
